permno,io_persist,me_mean,log_me_mean,iv_mean,mom_mean,ret_mean,tercile,siccd,nm,state,me_mean_M,sic_div,me_q
10966,0.4880420259423978,525.6636609821428,5.970006882948783,0.2506312867311627,0.5275398901412789,0.02172151080357143,2,3845,112,US-FL,0.5256636609821428,Manufacturing,Q3
10994,0.012934545726674148,12.967200955555555,2.5427850516303923,1.038751170626635,-0.6348924828319755,0.009701000000000003,1,2836,9,US-NY,0.012967200955555555,Manufacturing,Q1 micro
11006,0.3773178036455743,389.5779776944444,5.8835154618288,-0.6107809772376278,0.06601572202135365,0.006721072222222221,2,6020,180,US-NY,0.3895779776944444,FIRE,Q3
11038,0.5885941763673154,98.64626109302326,4.461626503269971,0.5374017055994508,-0.5351903179083329,0.010958962093023251,2,3661,43,US-CA,0.09864626109302325,Manufacturing,Q2
11048,0.18243974203252003,6.547060430666666,1.842765917886736,1.5397082007422342,-1.3725754664324714,-0.025698013333333332,1,4930,15,US-NY,0.006547060430666666,Transp/Util,Q1 micro
11056,0.609872686939741,938.0648084857144,6.234318430479867,0.4117915522192678,-0.6409242990622279,6.04417460317438e-05,2,6036,63,US-WA,0.9380648084857144,FIRE,Q4
11081,0.5667668903524369,25167.601863666667,10.118326977523537,-0.5378402697642928,-0.31569881615954043,0.010835000000000001,2,3570,57,US-TX,25.16760186366667,Manufacturing,Q5 mega
11131,0.24563514407478446,27.508083985714286,3.0894625808759133,0.40305171216415314,0.32272370671681727,0.024656042619047584,1,6030,84,US-IN,0.027508083985714287,FIRE,Q1 micro
11132,0.4283008420845827,187.9304464864865,5.217050959620627,-0.21961387047259592,0.025899781761035866,0.017249701351351343,2,5120,37,US-MN,0.1879304464864865,WholesaleTrade,Q2
11137,0.1641249927390689,55.96766438461538,3.942536967325981,0.42286201623377606,0.12403028599152832,0.04507272743589738,1,5130,39,US-FL,0.05596766438461538,WholesaleTrade,Q1 micro
11144,0.5606275900138132,485.52287416666667,6.112023047114869,-0.16626256199808026,0.14950080813398292,0.006930922222222222,2,2873,180,US-CA,0.4855228741666667,Manufacturing,Q3
11153,0.006066212634509116,87.76992401875,4.467616042507766,-0.2484186299875992,0.3436370810610471,0.0033134999999999987,1,3620,16,US-NY,0.08776992401875,Manufacturing,Q2
11154,0.796509430073422,633.88636275,6.312521557988897,-0.20561189593675688,0.21228963771007048,0.025696898722222222,3,3670,180,US-CT,0.63388636275,Manufacturing,Q3
11157,0.11188391549806098,13.602072281132076,2.5469850510830665,0.9143970674024007,0.26180230299299195,0.0621753745283019,1,3812,53,US-FL,0.013602072281132076,Manufacturing,Q1 micro
11161,0.02479343984165135,5.982517628571428,1.6420911522293866,1.1379090877954745,-0.07659015432481613,0.08911055428571428,1,5712,14,US-NY,0.005982517628571428,RetailTrade,Q1 micro
11162,0.280206674915937,21.592389575,2.919700584343087,1.7450500417124457,-1.2376482459515992,0.049011219999999994,1,4510,12,US-AZ,0.021592389575,Transp/Util,Q1 micro
11174,0.6474439571642595,433.5947698611111,5.989122767672163,-0.21820327731702857,0.21664460114705847,0.01683760555555556,3,4840,180,US-AR,0.4335947698611111,Transp/Util,Q3
11246,0.11408992229036048,150.7328386037736,5.003482674553736,-0.5265625154135216,0.078115475751691,0.015111198113207545,1,6159,106,US-CA,0.1507328386037736,FIRE,Q2
11267,0.6613709097979901,556.5738228888889,6.1707682924229745,-0.29253546067297764,0.017429374067012,0.005419511111111111,3,5621,180,US-NC,0.5565738228888889,RetailTrade,Q3
