wave,state,band,band_lbl,pass3,n_raw,n_eff,mandate_exposure
2012,RI,4,45-54,0.28923446036694433,107,102.1118182355181,0.0
2012,RI,5,55-64,0.3784031695336353,97,93.71189496241628,0.0
2012,RI,6,65+,0.4016686231689336,89,86.08263959316852,0.0
2012,SC,1,18-24,0.13950874379272882,56,52.256314895052704,0.5714285714285714
2012,SC,2,25-34,0.1199614393550987,80,73.60545449154604,0.0
2012,SC,3,35-44,0.2975111268992618,81,77.23808788011242,0.0
2012,SC,4,45-54,0.2422190221223702,104,100.0351941772956,0.0
2012,SC,5,55-64,0.29696923532834235,90,87.4650922317914,0.0
2012,SC,6,65+,0.3120023658322444,90,87.40762341806229,0.0
2012,SD,1,18-24,0.09700660452829162,45,41.99100459724912,0.0
2012,SD,2,25-34,0.17054064089676393,74,68.68475914341967,0.0
2012,SD,3,35-44,0.19645791775627103,81,76.41060628093646,0.0
2012,SD,4,45-54,0.27695529798371116,102,98.34997203650836,0.0
2012,SD,5,55-64,0.3564494629181855,104,100.40280498582428,0.0
2012,SD,6,65+,0.339661029842095,94,90.47788868907867,0.0
2012,TN,1,18-24,0.13192418889634502,50,46.84996572518945,0.2857142857142857
2012,TN,2,25-34,0.16904059329053917,83,78.79336614307151,0.0
2012,TN,3,35-44,0.20120509498493258,86,82.5938520229592,0.0
2012,TN,4,45-54,0.19404300092213322,97,94.36841920177271,0.0
2012,TN,5,55-64,0.21034178630437353,83,79.65101893355984,0.0
2012,TN,6,65+,0.37986386038633274,101,98.22433672740458,0.0
2012,TX,1,18-24,0.193824837510635,65,60.508549291945194,0.8571428571428571
2012,TX,2,25-34,0.13572204443289249,98,86.67699202587967,0.0
2012,TX,3,35-44,0.16766598284126807,94,85.61049450177605,0.0
2012,TX,4,45-54,0.26233361054017335,94,88.44938020485327,0.0
2012,TX,5,55-64,0.18165243145408597,77,71.91773634351628,0.0
2012,TX,6,65+,0.31674410193381053,72,69.60141980149571,0.0
2012,UT,1,18-24,0.2289787812554253,53,49.145916984476806,0.7142857142857143
2012,UT,2,25-34,0.1575794708131498,101,91.66503716359632,0.0
2012,UT,3,35-44,0.3276059561340342,94,88.39294544501583,0.0
2012,UT,4,45-54,0.34460363604115957,93,88.69220343258712,0.0
2012,UT,5,55-64,0.4839793934206125,88,83.46686067788293,0.0
2012,UT,6,65+,0.43689177111913147,71,68.11124320763034,0.0
2012,VA,1,18-24,0.10843461603948129,51,46.22029754358063,0.0
2012,VA,2,25-34,0.23650910861382624,79,71.0459621454907,0.0
2012,VA,3,35-44,0.2801538489109612,98,93.20068369491742,0.0
2012,VA,4,45-54,0.307721925779032,99,94.6041500088452,0.0
2012,VA,5,55-64,0.23489599351683418,97,93.71286257513886,0.0
2012,VA,6,65+,0.3816811690539447,76,73.639344396551,0.0
2012,VT,1,18-24,0.09155670952992295,41,39.3666887682071,0.0
2012,VT,2,25-34,0.2318006515103087,69,64.62076771015131,0.0
2012,VT,3,35-44,0.16938423040729908,75,72.29830417939678,0.0
2012,VT,4,45-54,0.26202086947744613,116,111.512441380077,0.0
2012,VT,5,55-64,0.3194393479682171,110,106.02551041687843,0.0
2012,VT,6,65+,0.41858261251409695,89,86.13345003241862,0.0
2012,WA,1,18-24,0.22129581068255633,40,36.096000376612295,0.0
2012,WA,2,25-34,0.17510740824526444,80,70.76893915731941,0.0
2012,WA,3,35-44,0.16950686994291192,91,84.66464376914381,0.0
2012,WA,4,45-54,0.2916932047041031,98,91.91532410315908,0.0
2012,WA,5,55-64,0.29778816024300353,103,96.94874731350414,0.0
2012,WA,6,65+,0.4906166362561668,88,85.7236091522916,0.0
2012,WI,1,18-24,0.14304418466900248,40,37.49156124455938,0.0
2012,WI,2,25-34,0.271730523133877,82,76.23841492311105,0.0
2012,WI,3,35-44,0.21997324232553403,82,78.74767241429842,0.0
2012,WI,4,45-54,0.2808869094903351,115,110.1931786936621,0.0
2012,WI,5,55-64,0.3140144168448692,96,92.68268337990698,0.0
2012,WI,6,65+,0.2875544622932971,86,84.58662557772163,0.0
2012,WV,1,18-24,0.08859400966870903,52,48.92462983365207,0.0
2012,WV,2,25-34,0.24329157472015447,79,74.1531162206561,0.0
2012,WV,3,35-44,0.13137173828604617,86,83.81476546136567,0.0
2012,WV,4,45-54,0.1797322243214237,97,94.6006895664407,0.0
2012,WV,5,55-64,0.24050393625185523,97,94.35338787242287,0.0
2012,WV,6,65+,0.3370167092242678,89,86.44738453813412,0.0
2012,WY,1,18-24,0.10799997014421715,40,37.12941686691329,1.0
2012,WY,2,25-34,0.1323984048469149,98,88.60646126762013,0.4
2012,WY,3,35-44,0.2132403368044899,79,74.70998851467374,0.0
2012,WY,4,45-54,0.2785807584693814,113,107.27431511476905,0.0
2012,WY,5,55-64,0.2799869826008965,115,109.01541459248187,0.0
2012,WY,6,65+,0.45559581162123464,55,52.94943318859934,0.0
2015,AK,1,18-24,0.1377218553685149,50,45.044324825286886,0.0
2015,AK,2,25-34,0.09379193594957941,116,101.78665551157947,0.0
2015,AK,3,35-44,0.14178840507586907,80,76.00819234052605,0.0
2015,AK,4,45-54,0.31871962307500035,98,93.36509287278895,0.0
2015,AK,5,55-64,0.36466076680950676,95,90.00542002993001,0.0
2015,AK,6,65+,0.3715971453235119,61,57.76994287020952,0.0
2015,AL,1,18-24,0.14003237212562203,58,53.10266935390119,0.0
2015,AL,2,25-34,0.16267504076520323,84,76.07928098928701,0.0
2015,AL,3,35-44,0.25246901728167587,88,82.50117620102097,0.0
2015,AL,4,45-54,0.3116589481598783,86,81.65356818658405,0.0
2015,AL,5,55-64,0.29658072317556655,90,86.59875652662511,0.0
2015,AL,6,65+,0.3021307391348484,97,92.70212914325275,0.0
2015,AR,1,18-24,0.14818683839926577,45,41.02778722687549,1.0
2015,AR,2,25-34,0.13900534157403308,73,66.48237674111797,0.4
2015,AR,3,35-44,0.11859560513309315,89,84.86241050601562,0.0
2015,AR,4,45-54,0.3117310907481574,97,93.54858468231664,0.0
2015,AR,5,55-64,0.26032867600573606,93,89.43793085027667,0.0
2015,AR,6,65+,0.2589287716872349,103,100.1290506100597,0.0
2015,AZ,1,18-24,0.22389715270648472,60,52.86791038824537,1.0
2015,AZ,2,25-34,0.12595466884961756,90,75.02040428296898,0.4
2015,AZ,3,35-44,0.30792936289682804,85,73.2167270248876,0.0
2015,AZ,4,45-54,0.31163750595150674,81,71.24797495393534,0.0
2015,AZ,5,55-64,0.36929426886748606,81,75.88880178768744,0.0
2015,AZ,6,65+,0.2613821613207386,103,95.64877977500672,0.0
2015,CA,1,18-24,0.15954192569249007,137,122.27606444591174,0.0
2015,CA,2,25-34,0.22244084227352645,191,167.99854374749958,0.0
2015,CA,3,35-44,0.25858075480797227,177,158.01951471407494,0.0
2015,CA,4,45-54,0.2675037953878856,180,161.1296359289719,0.0
2015,CA,5,55-64,0.297741669628518,151,136.42688554153864,0.0
