ym,slope,se_hc1,se_state,n,n_states
2020-10,-0.0013871034555766118,0.05142798055974067,0.033321768361658156,3284,50
2020-11,-0.15343439774737083,0.13083913700380748,0.12155234205463876,3297,50
2020-12,-0.13541212155663476,0.09628098791124767,0.07076094295118936,3298,50
2021-01,0.15975743953311972,0.10004026390155595,0.07603431010327848,3297,50
2021-02,0.1048161958404043,0.121115140973454,0.12455539872183316,3306,50
2021-03,0.08090316762104519,0.0804356093247999,0.07212187266274218,3311,50
2021-04,0.015691620358903934,0.054152668014237085,0.05011218870344404,3300,50
2021-05,0.2658108281306161,0.09853335725135619,0.09090405438415501,3302,50
2021-06,-0.06723032619495721,0.09920337923356108,0.11056051714700912,3298,50
2021-07,-0.12058048438078918,0.07874458859879968,0.08012630104928005,3307,50
2021-08,-0.113344896871485,0.09885595890701036,0.10067944451104133,3324,50
2021-09,0.03864679610689703,0.07201915795680723,0.062861252618308,3338,50
2021-10,-0.2545101858998321,0.10720632784004387,0.13125403829119214,3362,50
2021-11,-0.15373008149957018,0.10732076827183583,0.08676109125502356,3389,50
2021-12,0.13864154596095743,0.09127089091042193,0.08772686006059477,3414,50
2022-01,0.04255082231241396,0.07464871783200529,0.08491024601885541,3451,50
2022-02,-0.17802658505378322,0.09492768854813335,0.09890487501595127,3484,50
2022-03,-0.09190801769072421,0.09610794155245742,0.073166099365968,3530,50
2022-04,-0.0010823349281655534,0.09062882442708893,0.08574343712815909,3614,51
2022-05,0.16912259928726753,0.10425507569850562,0.09838437787086364,3684,51
2022-06,-0.06604923736588152,0.12385674291507259,0.13871601700129352,3734,51
2022-07,-0.10357437123086882,0.11562750612023438,0.08980629175422987,3773,51
2022-08,-0.1856516922922707,0.10428330956774279,0.09863135680447298,3839,51
2022-09,0.11415494663755756,0.09231151838607893,0.0825161780003452,3865,51
2022-10,0.0858684476062882,0.13922084772214494,0.06923158507344293,3882,51
2022-11,-0.01793349429490735,0.1254367435621209,0.14424638015375585,3919,51
2022-12,0.012350669825768996,0.12515447562234958,0.07358666809535212,3896,50
2023-01,0.16035331099166925,0.16910618198844224,0.15600593566205695,3912,50
2023-02,-0.025471035322720454,0.09852078544891582,0.07065901871286878,3919,50
2023-03,0.06024943502817909,0.14024539500981875,0.10510896872717512,3911,50
2023-04,0.01687046704068489,0.1154332181834447,0.10599420031033964,3909,50
2023-05,0.07926147566696791,0.13639310378643862,0.16660546701881687,3906,50
2023-06,-0.15677417274032024,0.11788582590052295,0.12854677145093052,3890,50
2023-07,-0.13246239499239448,0.12396077000165785,0.10071410478292205,3872,50
2023-08,-0.206539866000389,0.0991748127436707,0.07629058532867349,3847,50
2023-09,0.03645039341368166,0.10487421747157671,0.10259300862735792,3847,50
2023-10,0.17086010408932775,0.0786944404370906,0.07532022375170686,3829,50
2023-11,0.25768744496503604,0.13773643719708367,0.11867230639240496,3805,50
2023-12,-0.049661922550468404,0.13007759180924633,0.10941587728741721,3763,50
